Trial,Word,Color,Timestamp,Marker
1,angry,yellow,1741634168.398278,1
2,equally,blue,1741634173.98752,2
3,snow,yellow,1741634179.6041124,3
4,messenger,blue,1741634185.2050345,4
5,linen,yellow,1741634190.7889442,5
6,divide,blue,1741634196.3734038,6
7,thick,yellow,1741634201.9838803,7
8,south,blue,1741634207.589919,8
9,commandment,yellow,1741634213.1741192,9
10,cease,blue,1741634218.77331,10
11,consequence,yellow,1741634224.3572395,11
12,plan,blue,1741634229.941121,12
13,loose,yellow,1741634235.5418262,13
14,rain,blue,1741634241.1250052,14
15,example,yellow,1741634246.725106,15
16,chiefly,blue,1741634252.3272202,16
17,anxious,yellow,1741634257.9095666,17
18,science,blue,1741634263.493948,18
19,friendship,yellow,1741634269.0775723,19
20,modern,blue,1741634274.6767647,20
21,narrow,yellow,1741634280.2787647,21
22,minister,blue,1741634285.8783047,22
23,basket,yellow,1741634291.4795256,23
24,finger,blue,1741634297.0949032,24
25,front,yellow,1741634302.6961854,25
26,compass,blue,1741634308.2794228,26
27,forbid,yellow,1741634313.879554,27
28,colour,blue,1741634319.4645898,28
29,neck,yellow,1741634325.0808508,29
30,thoroughly,blue,1741634330.664278,30
31,drunk,yellow,1741634336.2656715,31
32,breath,blue,1741634341.8660612,32
33,suspect,yellow,1741634347.4654176,33
34,usual,blue,1741634353.0488417,34
35,lucky,yellow,1741634358.6335852,35
36,loose,blue,1741634364.2433782,36
37,trying,yellow,1741634369.8343034,37
38,brow,blue,1741634375.4349592,38
39,worship,yellow,1741634381.0449276,39
40,naturally,blue,1741634386.63474,40
41,science,yellow,1741634392.250803,41
42,speech,blue,1741634397.8511925,42
43,flow,yellow,1741634403.4352098,43
44,double,blue,1741634409.035086,44
45,mere,yellow,1741634414.6354656,45
46,blow,blue,1741634420.23748,46
47,dominion,yellow,1741634425.8528297,47
48,horrible,blue,1741634431.454873,48
49,visible,yellow,1741634437.038539,49
50,roll,blue,1741634442.6227958,50
51,array,yellow,1741634448.2054467,51
52,view,blue,1741634453.807043,52
53,vision,yellow,1741634459.4229028,53
54,calm,blue,1741634465.0223684,54
55,covered,yellow,1741634470.6075826,55
56,spot,blue,1741634476.20671,56
57,guinea,yellow,1741634481.8067338,57
58,plant,blue,1741634487.3916328,58
59,finally,yellow,1741634493.0183067,59
60,likewise,blue,1741634498.60716,60
61,ball,yellow,1741634504.1935098,61
62,yesterday,blue,1741634509.8104892,62
63,vessel,yellow,1741634515.3934717,63
64,fill,blue,1741634520.9761443,64
65,swear,yellow,1741634526.570094,65
66,flame,blue,1741634532.161073,66
67,nation,yellow,1741634537.7768736,67
68,wealth,blue,1741634543.3611386,68
69,direction,yellow,1741634548.9449518,69
70,material,blue,1741634554.5437362,70
71,crime,yellow,1741634560.1273196,71
72,civil,blue,1741634565.7122877,72
73,reach,yellow,1741634571.312997,73
74,size,blue,1741634576.8972027,74
75,purple,yellow,1741634582.5425084,75
76,famous,blue,1741634588.146964,76
77,wickedness,yellow,1741634593.7462451,77
78,hitherto,blue,1741634599.3486452,78
79,prove,yellow,1741634604.9474902,79
80,approach,blue,1741634610.532555,80
81,heap,yellow,1741634616.1145985,81
82,choice,blue,1741634621.699818,82
83,sooner,yellow,1741634627.2827706,83
84,grown,blue,1741634632.8827906,84
85,grief,yellow,1741634638.4821973,85
86,strife,blue,1741634644.0688407,86
87,cruel,yellow,1741634649.6779597,87
88,singing,blue,1741634655.288808,88
89,native,yellow,1741634660.884732,89
90,camp,blue,1741634666.5026789,90
91,weather,yellow,1741634672.1195967,91
92,milk,blue,1741634677.703293,92
93,acknowledge,yellow,1741634683.2857115,93
94,baby,blue,1741634688.8879907,94
95,discover,yellow,1741634694.4702358,95
96,harpoon,blue,1741634700.0866992,96
97,pipe,yellow,1741634705.6872728,97
98,declared,blue,1741634711.271103,98
99,feed,yellow,1741634716.8711045,99
100,tired,blue,1741634722.4715805,100
